accession	variant	length	category	description
AGC54632.1	NDM-1	270	Biological_protein	AGC54632.1 metallo-beta-lactamase NDM-1 [Pantoea ananatis]
CCO61949.1	NDM-1	270	Biological_protein	CCO61949.1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]
CCO61954.1	NDM-1	270	Biological_protein	CCO61954.1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]
pdb|4HKY|A	NDM-1	243	PDB_structure	pdb|4HKY|A Chain A, Beta-lactamase NDM-1
pdb|4HKY|B	NDM-1	243	PDB_structure	pdb|4HKY|B Chain B, Beta-lactamase NDM-1
AGD80054.1	NDM-1	254	Biological_protein	AGD80054.1 metallo-beta-lactamase NDM-1, partial [Pseudomonas aeruginosa]
AGD80055.1	NDM-1	250	Biological_protein	AGD80055.1 metallo-beta-lactamase NDM-1, partial [Pseudomonas aeruginosa]
AGD80056.1	NDM-1	265	Biological_protein	AGD80056.1 metallo-beta-lactamase NDM-1, partial [Pseudomonas aeruginosa]
AGF92094.1	NDM-1	270	Plasmid_associated	AGF92094.1 NDM-1 metallo-beta-lactamase (plasmid) [Acinetobacter johnsonii]
AGG11775.1	NDM-1	270	Biological_protein	AGG11775.1 class B carbapenemase NDM-1 [Enterobacter hormaechei]
AGH58173.1	NDM-1	270	Plasmid_associated	AGH58173.1 metallo-beta-lactamase, NDM-1 (plasmid) [Klebsiella pneumoniae]
AGH88988.1	NDM-1	270	Plasmid_associated	AGH88988.1 beta-lactamase NDM-1 (plasmid) [Acinetobacter baumannii]
EMR14943.1	NDM-1	270	Biological_protein	EMR14943.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae ATCC BAA-2146]
ENW67327.1	NDM-1	270	Biological_protein	ENW67327.1 beta-lactamase NDM-1 [Acinetobacter baumannii ANC 4097]
AGL09202.1	NDM-1	270	Biological_protein	AGL09202.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
AGL09203.1	NDM-1	270	Biological_protein	AGL09203.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
AGL09204.1	NDM-1	270	Biological_protein	AGL09204.1 metallo-beta-lactamase NDM-1 [Klebsiella aerogenes]
AGL09205.1	NDM-1	270	Biological_protein	AGL09205.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae]
WP_004201164.1	NDM-1	270	Biological_protein	WP_004201164.1 MULTISPECIES: subclass B1 metallo-beta-lactamase NDM-1 [Bacteria]
CDF66319.1	NDM-1	270	Plasmid_associated	CDF66319.1 NDM-1 metallo-betalactamase (plasmid) [Salmonella enterica subsp. enterica serovar Corvallis]
BAN57544.1	NDM-1	270	Plasmid_associated	BAN57544.1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
AGO89234.1	NDM-1	270	Plasmid_associated	AGO89234.1 Beta-lactamase NDM-1 (plasmid) [Klebsiella planticola]
BAN63091.1	NDM-1	270	Plasmid_associated	BAN63091.1 metallo-beta-lactamase NDM-1 (plasmid) [Providencia rettgeri]
AGS56775.1	NDM-1	270	Plasmid_associated	AGS56775.1 NDM-1 (plasmid) [Enterobacter cloacae]
AGT80475.1	NDM-1	270	Plasmid_associated	AGT80475.1 New Delhi metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
AGU69394.1	NDM-1	270	Plasmid_associated	AGU69394.1 NDM-1 (plasmid) [Klebsiella pneumoniae]
AGW15616.1	NDM-1	270	Plasmid_associated	AGW15616.1 beta-lactamase NDM-1 (plasmid) [Acinetobacter pittii]
AGX85825.1	NDM-1	270	Plasmid_associated	AGX85825.1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
AHB38850.1	NDM-1	270	Plasmid_associated	AHB38850.1 metallo-beta-lactamase NDM-1 (plasmid) [Enterobacter hormaechei subsp. oharae]
AHC53895.1	NDM-1	270	Biological_protein	AHC53895.1 metallo-beta-lactamase NDM-1 [Enterobacter cloacae]
AHC53896.1	NDM-1	265	Biological_protein	AHC53896.1 metallo-beta-lactamase NDM-1, partial [Enterobacter cloacae]
AHF22464.1	NDM-1	270	Plasmid_associated	AHF22464.1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
CDF66128.1	NDM-1	270	Plasmid_associated	CDF66128.1 NDM-1 (plasmid) [Escherichia coli]
EUM71319.1	NDM-1	270	Biological_protein	EUM71319.1 beta-lactamase NDM-1 [Enterobacter sp. MGH 10]
AHI38927.1	NDM-1	270	Plasmid_associated	AHI38927.1 Ambler Class B metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]
AHJ80703.1	NDM-1	270	Plasmid_associated	AHJ80703.1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella planticola]
AHK80864.1	NDM-1	270	Biological_protein	AHK80864.1 metallo-beta-lactamase NDM-1 [Escherichia coli]
AHK80865.1	NDM-1	270	Biological_protein	AHK80865.1 metallo-beta-lactamase NDM-1 [Escherichia coli]
AHK80866.1	NDM-1	270	Biological_protein	AHK80866.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
AHK80867.1	NDM-1	270	Biological_protein	AHK80867.1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
AHK80868.1	NDM-1	270	Biological_protein	AHK80868.1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
AHK80869.1	NDM-1	270	Biological_protein	AHK80869.1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
AHK80870.1	NDM-1	270	Biological_protein	AHK80870.1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
AHK80871.1	NDM-1	270	Biological_protein	AHK80871.1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
AHK80872.1	NDM-1	270	Biological_protein	AHK80872.1 metallo-beta-lactamase NDM-1 [Providencia rettgeri]
AHK80873.1	NDM-1	270	Biological_protein	AHK80873.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
AHK80874.1	NDM-1	270	Biological_protein	AHK80874.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
AHK80875.1	NDM-1	270	Biological_protein	AHK80875.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
AHK80876.1	NDM-1	270	Biological_protein	AHK80876.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
AHK80877.1	NDM-1	270	Biological_protein	AHK80877.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
AHK80878.1	NDM-1	270	Biological_protein	AHK80878.1 metallo-beta-lactamase NDM-1 [Citrobacter freundii]
AHK80879.1	NDM-1	270	Biological_protein	AHK80879.1 metallo-beta-lactamase NDM-1 [Citrobacter freundii]
AHK80880.1	NDM-1	270	Biological_protein	AHK80880.1 metallo-beta-lactamase NDM-1 [Citrobacter freundii]
AHK80881.1	NDM-1	270	Biological_protein	AHK80881.1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
AHK80882.1	NDM-1	270	Biological_protein	AHK80882.1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
AHK80883.1	NDM-1	270	Biological_protein	AHK80883.1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
AHK80884.1	NDM-1	270	Biological_protein	AHK80884.1 metallo-beta-lactamase NDM-1 [Acinetobacter calcoaceticus]
AHK80885.1	NDM-1	270	Biological_protein	AHK80885.1 metallo-beta-lactamase NDM-1 [Acinetobacter calcoaceticus]
AHK80886.1	NDM-1	270	Biological_protein	AHK80886.1 metallo-beta-lactamase NDM-1 [Pseudomonas putida]
AHK80887.1	NDM-1	270	Biological_protein	AHK80887.1 metallo-beta-lactamase NDM-1 [Pseudomonas putida]
AHK80888.1	NDM-1	270	Biological_protein	AHK80888.1 metallo-beta-lactamase NDM-1 [Pseudomonas putida]
AHK80889.1	NDM-1	270	Biological_protein	AHK80889.1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]
AHK80890.1	NDM-1	270	Biological_protein	AHK80890.1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]
AHL30416.1	NDM-1	270	Plasmid_associated	AHL30416.1 NDM-1 (plasmid) [Klebsiella pneumoniae]
AHM26662.1	NDM-1	270	Biological_protein	AHM26662.1 beta-lactamase NDM-1 [Acinetobacter sp. NF001]
AHM26663.1	NDM-1	270	Biological_protein	AHM26663.1 beta-lactamase NDM-1 [Acinetobacter sp. NF002]
AHM26664.1	NDM-1	270	Biological_protein	AHM26664.1 beta-lactamase NDM-1 [Acinetobacter sp. NF003]
AHM26665.1	NDM-1	270	Biological_protein	AHM26665.1 beta-lactamase NDM-1 [Acinetobacter sp. NF004]
AHM26666.1	NDM-1	270	Biological_protein	AHM26666.1 beta-lactamase NDM-1 [Acinetobacter sp. NF006]
AHM26667.1	NDM-1	270	Biological_protein	AHM26667.1 beta-lactamase NDM-1 [Acinetobacter sp. NF007]
AHM26668.1	NDM-1	270	Biological_protein	AHM26668.1 beta-lactamase NDM-1 [Acinetobacter sp. NF009]
AHM26669.1	NDM-1	270	Biological_protein	AHM26669.1 beta-lactamase NDM-1 [Acinetobacter sp. NF010]
AHM26670.1	NDM-1	270	Biological_protein	AHM26670.1 beta-lactamase NDM-1 [Acinetobacter sp. NF126]
AHM26671.1	NDM-1	270	Biological_protein	AHM26671.1 beta-lactamase NDM-1 [Acinetobacter sp. NF129]
AHM26672.1	NDM-1	270	Biological_protein	AHM26672.1 beta-lactamase NDM-1 [Acinetobacter sp. NF141]
AHM26673.1	NDM-1	270	Biological_protein	AHM26673.1 beta-lactamase NDM-1 [Acinetobacter sp. NF159]
AHM26674.1	NDM-1	270	Biological_protein	AHM26674.1 beta-lactamase NDM-1 [Acinetobacter sp. NF200]
AHM26675.1	NDM-1	270	Biological_protein	AHM26675.1 beta-lactamase NDM-1 [Acinetobacter sp. NF212]
AHM26676.1	NDM-1	270	Biological_protein	AHM26676.1 beta-lactamase NDM-1 [Acinetobacter sp. NF213]
AHM26677.1	NDM-1	270	Biological_protein	AHM26677.1 beta-lactamase NDM-1 [Acinetobacter sp. NF253]
AHM26678.1	NDM-1	270	Biological_protein	AHM26678.1 beta-lactamase NDM-1 [Acinetobacter sp. NF265]
AHM26679.1	NDM-1	270	Biological_protein	AHM26679.1 beta-lactamase NDM-1 [Acinetobacter sp. NF270]
AHM26680.1	NDM-1	270	Biological_protein	AHM26680.1 beta-lactamase NDM-1 [Acinetobacter sp. NF271]
AHM26681.1	NDM-1	270	Biological_protein	AHM26681.1 beta-lactamase NDM-1 [Acinetobacter sp. NF402]
AHM26682.1	NDM-1	270	Biological_protein	AHM26682.1 beta-lactamase NDM-1 [Acinetobacter sp. NF403]
AHM26683.1	NDM-1	270	Biological_protein	AHM26683.1 beta-lactamase NDM-1 [Acinetobacter sp. NF404]
AHM26684.1	NDM-1	270	Biological_protein	AHM26684.1 beta-lactamase NDM-1 [Acinetobacter sp. NF405]
AHM26685.1	NDM-1	270	Biological_protein	AHM26685.1 beta-lactamase NDM-1 [Acinetobacter sp. NF406]
AHM26686.1	NDM-1	270	Biological_protein	AHM26686.1 beta-lactamase NDM-1 [Acinetobacter sp. NF407]
AHM26687.1	NDM-1	270	Biological_protein	AHM26687.1 beta-lactamase NDM-1 [Acinetobacter sp. NF511]
AHM26688.1	NDM-1	270	Biological_protein	AHM26688.1 beta-lactamase NDM-1 [Acinetobacter sp. NF512]
AHM26689.1	NDM-1	270	Biological_protein	AHM26689.1 beta-lactamase NDM-1 [Acinetobacter sp. NF514]
AHM26690.1	NDM-1	270	Biological_protein	AHM26690.1 beta-lactamase NDM-1 [Acinetobacter sp. NF517]
AHM26691.1	NDM-1	270	Biological_protein	AHM26691.1 beta-lactamase NDM-1 [Acinetobacter sp. NF519]
AHM26692.1	NDM-1	270	Biological_protein	AHM26692.1 beta-lactamase NDM-1 [Acinetobacter sp. NF446]
AHM26693.1	NDM-1	270	Biological_protein	AHM26693.1 beta-lactamase NDM-1 [Acinetobacter sp. NF255]
AHM26694.1	NDM-1	270	Biological_protein	AHM26694.1 beta-lactamase NDM-1 [Acinetobacter sp. NF264]
AHM26695.1	NDM-1	270	Biological_protein	AHM26695.1 beta-lactamase NDM-1 [Acinetobacter sp. NF149]
AHM26696.1	NDM-1	270	Biological_protein	AHM26696.1 beta-lactamase NDM-1 [Acinetobacter sp. NF276]
AHM26697.1	NDM-1	270	Biological_protein	AHM26697.1 beta-lactamase NDM-1 [Acinetobacter sp. NF258]
AHM26698.1	NDM-1	270	Biological_protein	AHM26698.1 beta-lactamase NDM-1 [Acinetobacter sp. NF401]
AHM26699.1	NDM-1	270	Biological_protein	AHM26699.1 beta-lactamase NDM-1 [Acinetobacter sp. NF205]
AHM26700.1	NDM-1	270	Biological_protein	AHM26700.1 beta-lactamase NDM-1 [Acinetobacter sp. NF274]
AHM26701.1	NDM-1	270	Biological_protein	AHM26701.1 beta-lactamase NDM-1 [Acinetobacter sp. NF493]
AHM26702.1	NDM-1	270	Biological_protein	AHM26702.1 beta-lactamase NDM-1 [Acinetobacter sp. NF209]
AHM26703.1	NDM-1	270	Biological_protein	AHM26703.1 beta-lactamase NDM-1 [Acinetobacter sp. NF487]
AHM26704.1	NDM-1	270	Biological_protein	AHM26704.1 beta-lactamase NDM-1 [Acinetobacter sp. NF257]
AHM26705.1	NDM-1	270	Biological_protein	AHM26705.1 beta-lactamase NDM-1 [Acinetobacter sp. NF132]
AHM26706.1	NDM-1	270	Biological_protein	AHM26706.1 beta-lactamase NDM-1 [Acinetobacter sp. NF124]
AHM26707.1	NDM-1	270	Biological_protein	AHM26707.1 beta-lactamase NDM-1 [Acinetobacter sp. NF488]
AHM26708.1	NDM-1	270	Biological_protein	AHM26708.1 beta-lactamase NDM-1 [Acinetobacter sp. NF162]
AHM26709.1	NDM-1	270	Biological_protein	AHM26709.1 beta-lactamase NDM-1 [Acinetobacter sp. NF179]
AHM26710.1	NDM-1	270	Biological_protein	AHM26710.1 beta-lactamase NDM-1 [Acinetobacter sp. NF175]
AHM26711.1	NDM-1	270	Biological_protein	AHM26711.1 beta-lactamase NDM-1 [Acinetobacter sp. NF607]
AHM26712.1	NDM-1	270	Biological_protein	AHM26712.1 beta-lactamase NDM-1 [Acinetobacter sp. NF613]
AHM26713.1	NDM-1	270	Biological_protein	AHM26713.1 beta-lactamase NDM-1 [Acinetobacter sp. NF609]
AHM26714.1	NDM-1	270	Biological_protein	AHM26714.1 beta-lactamase NDM-1 [Acinetobacter sp. NF618]
AHM26715.1	NDM-1	270	Biological_protein	AHM26715.1 beta-lactamase NDM-1 [Acinetobacter sp. NF130]
AHM26716.1	NDM-1	270	Biological_protein	AHM26716.1 beta-lactamase NDM-1 [Acinetobacter sp. NF433]
AHM26717.1	NDM-1	270	Biological_protein	AHM26717.1 beta-lactamase NDM-1 [Acinetobacter sp. NF434]
AHM26718.1	NDM-1	270	Biological_protein	AHM26718.1 beta-lactamase NDM-1 [Acinetobacter sp. NF435]
AHM26719.1	NDM-1	270	Biological_protein	AHM26719.1 beta-lactamase NDM-1 [Acinetobacter sp. NF437]
AHM26720.1	NDM-1	270	Biological_protein	AHM26720.1 beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
AHM26721.1	NDM-1	270	Biological_protein	AHM26721.1 beta-lactamase NDM-1 [Enterobacter cloacae]
AHM26722.1	NDM-1	270	Biological_protein	AHM26722.1 beta-lactamase NDM-1 [Providencia rettgeri]
AHM26723.1	NDM-1	270	Biological_protein	AHM26723.1 beta-lactamase NDM-1 [Achromobacter sp. NF518]
AHM26724.1	NDM-1	270	Biological_protein	AHM26724.1 beta-lactamase NDM-1 [Acinetobacter baumannii]
AHM26725.1	NDM-1	270	Biological_protein	AHM26725.1 beta-lactamase NDM-1 [Acinetobacter baumannii]
AHM26726.1	NDM-1	270	Biological_protein	AHM26726.1 beta-lactamase NDM-1 [Pseudomonas aeruginosa]
AHN60536.1	NDM-1	270	Plasmid_associated	AHN60536.1 metallo-beta-lactamase NDM-1 (plasmid) [Enterobacter cloacae]
AHX39447.1	NDM-1	270	Plasmid_associated	AHX39447.1 NDM-1 (plasmid) [Escherichia coli]
KDL57897.1	NDM-1	270	Biological_protein	KDL57897.1 beta-lactamase NDM-1 [Klebsiella pneumoniae MGH 69]
AHZ97868.1	NDM-1	270	Biological_protein	AHZ97868.1 metallo-beta-lactamase NDM-1 [Klebsiella aerogenes]
AIA22328.1	NDM-1	270	Biological_protein	AIA22328.1 metallo-beta-lactamase NDM-1 [Citrobacter freundii]
AIA22329.1	NDM-1	270	Biological_protein	AIA22329.1 metallo-beta-lactamase NDM-1 [Citrobacter freundii]
AIA22330.1	NDM-1	270	Biological_protein	AIA22330.1 metallo-beta-lactamase NDM-1 [Escherichia coli]
AIA22331.1	NDM-1	270	Biological_protein	AIA22331.1 metallo-beta-lactamase NDM-1 [Klebsiella pneumoniae subsp. pneumoniae]
AIA22332.1	NDM-1	270	Biological_protein	AIA22332.1 metallo-beta-lactamase NDM-1 [Enterobacter cloacae]
AIA22333.1	NDM-1	270	Biological_protein	AIA22333.1 metallo-beta-lactamase NDM-1 [Citrobacter freundii]
AIA22334.1	NDM-1	270	Biological_protein	AIA22334.1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]
AIA22335.1	NDM-1	270	Biological_protein	AIA22335.1 metallo-beta-lactamase NDM-1 [Acinetobacter sp. NF715]
AIA22336.1	NDM-1	270	Biological_protein	AIA22336.1 metallo-beta-lactamase NDM-1 [Acinetobacter sp. NF5]
AIA22337.1	NDM-1	270	Biological_protein	AIA22337.1 metallo-beta-lactamase NDM-1 [Cupriavidus gilardii]
AIB09117.1	NDM-1	270	Plasmid_associated	AIB09117.1 beta-lactamase NDM-1 (plasmid) [Acinetobacter calcoaceticus]
